id,date,mods,scoremod,score,order,text,singleformat,rangeformat
1,2021-08-22, rangefound,5,5.0,[1],08/22/2021 through 08/28/2021 - Eget egestas purus viverra accumsan in nisl.,1,1
1,2021-08-23, rangefound,5,5.0,[2],08/22/2021 through 08/28/2021 - Eget egestas purus viverra accumsan in nisl.,1,1
1,2021-08-24, rangefound,5,5.0,[3],08/22/2021 through 08/28/2021 - Eget egestas purus viverra accumsan in nisl.,1,1
1,2021-08-25, rangefound,5,5.0,[4],08/22/2021 through 08/28/2021 - Eget egestas purus viverra accumsan in nisl.,1,1
1,2021-08-26, rangefound,5,5.0,[5],08/22/2021 through 08/28/2021 - Eget egestas purus viverra accumsan in nisl.,1,1
1,2021-08-27, rangefound,5,5.0,[6],08/22/2021 through 08/28/2021 - Eget egestas purus viverra accumsan in nisl.,1,1
1,2021-08-28, rangefound,5,5.0,[7],08/22/2021 through 08/28/2021 - Eget egestas purus viverra accumsan in nisl.,1,1
2,2021-09-05,,5,5.0,[1],"9/05/2021 - Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",1,1
2,2021-09-06,,5,5.0,[2],9/06/2021 - Fermentum posuere urna nec tincidunt praesent.,1,1
2,2021-09-07,,5,5.0,[3],9/07/2021 - Convallis a cras semper auctor neque vitae.,1,1
2,2021-09-08,,5,5.0,[4],9/08/2021 - Porttitor lacus luctus accumsan tortor posuere.,1,1
2,2021-09-09,,5,5.0,[5],9/09/2021 - Tristique senectus et netus et.,1,1
2,2021-09-10,,5,5.0,[6],9/10/2021 - Porttitor rhoncus dolor purus non.,1,1
2,2021-09-11,,5,5.0,[7],9/11/2021 - Tristique senectus et netus et malesuada fames.,1,1
3,2021-08-01, rangefound,5,5.0,[1],08/01/2021 through 08/07/2021 - Bibendum neque egestas congue quisque egestas.,1,1
3,2021-08-02, rangefound,5,5.0,[2],08/01/2021 through 08/07/2021 - Bibendum neque egestas congue quisque egestas.,1,1
3,2021-08-03, rangefound,5,5.0,[3],08/01/2021 through 08/07/2021 - Bibendum neque egestas congue quisque egestas.,1,1
3,2021-08-04, rangefound,5,5.0,[4],08/01/2021 through 08/07/2021 - Bibendum neque egestas congue quisque egestas.,1,1
3,2021-08-05, rangefound,5,5.0,[5],08/01/2021 through 08/07/2021 - Bibendum neque egestas congue quisque egestas.,1,1
3,2021-08-06, rangefound,5,5.0,[6],08/01/2021 through 08/07/2021 - Bibendum neque egestas congue quisque egestas.,1,1
3,2021-08-07, rangefound,5,5.0,[7],08/01/2021 through 08/07/2021 - Bibendum neque egestas congue quisque egestas.,1,1
4,2021-01-31,+2000yr,4,4.0,[1],"1/31/21 
 Pretium viverra suspendisse potenti nullam.",1,1
4,2021-02-01,+2000yr,4,4.0,[3],"2/01/21 
 Nibh tortor id aliquet lectus proin nibh.",1,1
4,2021-02-02,+2000yr,4,4.0,[5],"2/02/21 
 Eu consequat ac felis donec et odio pellentesque.",1,1
4,2021-02-03,+2000yr,4,4.0,[7],"2/03/21 
 Risus nullam eget felis eget nunc lobortis mattis aliquam faucibus.",1,1
4,2021-02-04,+2000yr,4,4.0,[9],"2/04/21 
 Risus viverra adipiscing at in tellus integer feugiat scelerisque varius.",1,1
4,2021-02-05,+2000yr,4,4.0,[11],"2/05/21 
 Amet facilisis magna etiam tempor orci eu lobortis elementum.",1,1
4,2021-02-06,+2000yr,4,4.0,[13],"2/06/21 
 Tellus mauris a diam maecenas sed enim ut sem viverra.",1,1
